# wave function for qubits with ids (least to most significant): 0;1;2;3;4;5
∣ 0❭:	 0.010469 +  0.002091 i	 == 	*                    [ 0.000114 ]      /- [  0.19711 rad ]
∣ 1❭:	-0.034938 + -0.032079 i	 == 	*                    [ 0.002250 ]  /      [ -2.39884 rad ]
∣ 2❭:	-0.011866 +  0.019312 i	 == 	*                    [ 0.000514 ]  \-     [  2.12178 rad ]
∣ 3❭:	 0.003627 + -0.004710 i	 == 	*                    [ 0.000035 ]      \  [ -0.91454 rad ]
∣ 4❭:	 0.007092 + -0.004210 i	 == 	*                    [ 0.000068 ]      \+ [ -0.53573 rad ]
∣ 5❭:	-0.038347 + -0.358575 i	 == 	***                  [ 0.130046 ]    ↓    [ -1.67733 rad ]
∣ 6❭:	-0.003952 +  0.025836 i	 == 	*                    [ 0.000683 ]    ↑    [  1.72259 rad ]
∣ 7❭:	 0.016734 +  0.002900 i	 == 	*                    [ 0.000288 ]     --- [  0.17159 rad ]
∣ 8❭:	-0.119656 +  0.007452 i	 == 	*                    [ 0.014373 ] ---     [  3.07940 rad ]
∣ 9❭:	 0.003264 + -0.001679 i	 == 	*                    [ 0.000013 ]      \+ [ -0.47512 rad ]
∣10❭:	-0.186537 + -0.893264 i	 == 	*****************    [ 0.832716 ]  /+     [ -1.77666 rad ]
∣11❭:	 0.033256 +  0.021939 i	 == 	*                    [ 0.001587 ]      /- [  0.58315 rad ]
∣12❭:	-0.010916 + -0.014182 i	 == 	*                    [ 0.000320 ]  /      [ -2.22676 rad ]
∣13❭:	-0.006885 +  0.034402 i	 == 	*                    [ 0.001231 ]  \-     [  1.76833 rad ]
∣14❭:	 0.001496 + -0.003551 i	 == 	*                    [ 0.000015 ]     -\  [ -1.17210 rad ]
∣15❭:	-0.026133 + -0.024059 i	 == 	*                    [ 0.001262 ]  /      [ -2.39748 rad ]
∣16❭:	-0.000042 +  0.004058 i	 == 	*                    [ 0.000016 ]    ↑    [  1.58106 rad ]
∣17❭:	-0.004667 +  0.005127 i	 == 	*                    [ 0.000048 ]  \      [  2.30922 rad ]
∣18❭:	-0.002054 +  0.006816 i	 == 	*                    [ 0.000051 ]  \-     [  1.86349 rad ]
∣19❭:	-0.022245 +  0.023083 i	 == 	*                    [ 0.001028 ]  \      [  2.33770 rad ]
∣20❭:	 0.002991 +  0.002193 i	 == 	*                    [ 0.000014 ]      /  [  0.63273 rad ]
∣21❭:	 0.003252 + -0.033279 i	 == 	*                    [ 0.001118 ]    ↓    [ -1.47337 rad ]
∣22❭:	 0.006991 +  0.041737 i	 == 	*                    [ 0.001791 ]    ↑    [  1.40483 rad ]
∣23❭:	-0.012437 + -0.000002 i	 == 	*                    [ 0.000155 ]     --- [ -3.14143 rad ]
∣24❭:	-0.013630 + -0.005492 i	 == 	*                    [ 0.000216 ] -/      [ -2.75859 rad ]
∣25❭:	 0.014361 + -0.001219 i	 == 	*                    [ 0.000208 ]     --- [ -0.08470 rad ]
∣26❭:	 0.010649 +  0.002935 i	 == 	*                    [ 0.000122 ]      /- [  0.26896 rad ]
∣27❭:	-0.014871 +  0.000647 i	 == 	*                    [ 0.000222 ] ---     [  3.09810 rad ]
∣28❭:	-0.002032 +  0.001824 i	 == 	*                    [ 0.000007 ]  \      [  2.40992 rad ]
∣29❭:	-0.005497 + -0.017495 i	 == 	*                    [ 0.000336 ]  /+     [ -1.87523 rad ]
∣30❭:	 0.014248 +  0.029693 i	 == 	*                    [ 0.001085 ]     +/  [  1.12339 rad ]
∣31❭:	-0.019272 + -0.016272 i	 == 	*                    [ 0.000636 ]  /      [ -2.44041 rad ]
∣32❭:	-0.003932 + -0.000913 i	 == 	*                    [ 0.000016 ] -/      [ -2.91350 rad ]
∣33❭:	-0.002185 + -0.002590 i	 == 	*                    [ 0.000011 ]  /      [ -2.27147 rad ]
∣34❭:	 0.002351 + -0.000098 i	 == 	*                    [ 0.000006 ]     --- [ -0.04164 rad ]
∣35❭:	 0.003799 +  0.004230 i	 == 	*                    [ 0.000032 ]      /  [  0.83901 rad ]
∣36❭:	-0.002157 + -0.002395 i	 == 	*                    [ 0.000010 ]  /      [ -2.30396 rad ]
